id,Project Name,Subtype,Current Status,Capacity (MW),Year of Completion,Country list of Sponsor/Developer,Sponsor/Developer Company,Country list of Lender/Financier,Lender/Financier Company,Country list of Construction/EPC,Construction Company/EPC Participant,Country,Province/State,District,Tributary,Latitude,Longitude,Proximity,Avg. Annual Output (MWh),Data Source,Announcement/More Information,Link,Latest Update
1432,Srepok 4a,Hydro,Operational,64.0,2014.0,Vietnam,Buon Don Hydro Power JSC,,,,,Vietnam,Đắk Lắk,Buôn Đôn,Srepok,12.8935,107.8123,,308000,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/srepok-4a-Hydropower; http://thuydienbuondon.vn/nha-may-thuy-dien-srepok-4a-san-xuat-di-doi-voi-bao-ve-moi-truongl-836-tin-tuc-107-sub.html,,12/21/2020
1433,Sri Chula Solar Power Plant,Solar,Operational,8.0,,Thailand,Gunkul Chubu Powergen Company Limited,,,,,Thailand,Nakhon Nayok,Muang Nakhon Nayok,Chao Phraya-Ping,14.0278,101.1862,,10669.23,World Resources Institute,http://www.gunkul.com,,
1434,Srijaroen Palm Oil Wastewater Treatment Project,Waste,Unknown,3.0,,Thailand,Sriajroen Palm Oil Co. Ltd.,,,Japan,Mitsubishi UFJ Securities Co. Ltd.,Thailand,Krabi,Khao Phanom,Ta Pi,8.290278,99.05527,,,UNFCCC,Biogas from wastewater from palm oil production,https://cdm.unfccc.int/Projects/DB/JQA1244008061.03/view,
1435,Srinagarind Dam,Hydro,Operational,720.0,1980.0,Thailand,EGAT,,,,,Thailand,Kanchanaburi,Si Sawat,Nam Mae Khlong Mainstem,14.40861,99.12833,,,Wikipedia,https://www.egat.co.th/en/information/power-plants-and-dams?view=article&id=60,,
1436,Srinagarind Renovation Hydropower Project,Hydro,Under Construction,360.0,2019.0,Thailand,EGAT,,,,,Thailand,Kanchanaburi,Si Sawat,Nam Mae Khlong Mainstem,14.40861,99.12833,,,Electricity Generating Authority of Thailand,https://www.egat.co.th/en/information/power-plants-and-dams?view=article&id=60,,
1437,Sriracha,Gas,Operational,700.0,2000.0,Thailand,GPSC (Global Power Synergy Corp),,,,,Thailand,Chon Buri,Si Racha,Coastal Rivers Rayong Chon Buri,13.1128,100.9085,,2865845,GEODB,http://www.gpscgroup.com/gpsc_Product.aspx?m=Guot8gFqqVmOBzLZMbBAQA%3d%3d,,
1438,Srisangdaw Biopower Power Plant Project,Biomass,Unknown,9.9,,Thailand,"Srisangdaw Biopower Co., Ltd (Srisangdaw Mill Ltd. Partnership)",,,Netherlands,Carbon Partners Asiatica (Hong Kong) Co. Ltd.,Thailand,Roi Et,Suwannaphum,Mun-Chi,15.6119,103.7906,,,UNFCCC,Rice husk and wood bark,https://cdm.unfccc.int/Projects/DB/SIRIM1270973247.56/view,
1439,Srok Phu Mieng,Hydro,Operational,51.0,2006.0,Vietnam,"EVN, Srok Phu Mieng Hydropower JSC",,,,,Vietnam,Bình Phước,Phú Riềng,Dong Nai,11.7689,106.7564,,,Wikipedia,https://data.opendevelopmentmekong.net/vi/library_record/sok-phu-mieng-Hydropower,,
1440,Stung Atay,Hydro,Operational,120.0,2013.0,China; Cambodia,"Cambodia Hydropower Development Co., Ltd.",China,China Development Bank (China),China,"Datang (China),",Cambodia,Pursat,Veal Veaeng,Steng Atay,12.0752,103.1899,,,World Resources Institute,"https://www.internationalrivers.org/sites/default/files/attached-files/case_study_china_investments_in_cambodia.pdf
datasets.wri.org/dataset/globalpowerplantdatabase; https://www.phnompenhpost.com/national/pm-fete-controversial-dam",,
1441,Stung Battambang I Multipurpose,Hydro,Operational,13.0,2018.0,China,China Guangdong Foreign Construction Company,China,China EXIM Bank (China),China,China Guangdong Foreign Construction Company,Cambodia,Battambang,Rotanak Mondol,Steng Mongkol Borei-Battambang,12.80437,102.9111,,,AidData,http://www.gdfc.cc/en/projects_view.aspx?project_id=539&project_class=30; https://en.wikipedia.org/wiki/Stung_Battambang_1_Dam,,
1442,Stung Battambang II,Hydro,Planned,36.0,,Russia,ENEX,,,,,Cambodia,Battambang,Samlaut,Steng Mongkol Borei-Battambang,12.43277,102.9025,,,WLE Mekong,https://wle-mekong.cgiar.org; https://www.phnompenhpost.com/business/russian-firm-enex-study-dam-feasibility,https://www.phnompenhpost.com/business/russian-firm-enex-study-dam-feasibility,
1443,Stung Battambang III,Hydro,Planned,13.0,,,,,,,,Cambodia,Battambang,Samlaut,Steng Mongkol Borei-Battambang,12.50675,102.8439,,,OpenDevelopment,https://wle-mekong.cgiar.org; http://www.mrcmekong.org/assets/Uploads/1.-Hydropower-plan-Cambodia.pdf,,
1444,Stung Cheay Areng Dam,Hydro,Postponed,108.0,,China,Power Construction Corp,China,China EXIM Bank (China),China,Power Construction Corp (China),Cambodia,Koh Kong,Kaoh Kong,Coastal Rivers Koh Kong,11.5182,103.4243,,,OpenDevelopment,https://www.rfa.org/english/news/cambodia/cambodias-dam-troubles-power-woes-05082019163551.html; http://www.mekongcommons.org/cambodias-areng-indigenous-community-fight-for-land-and-identity/,,12/21/2020
1445,Stung Chikreng,Hydro,Planned,1.0,,,,,,,,Cambodia,Siem Reap,Chi Kraeng,Steng Staung,13.22406,104.3678,,,OpenDevelopment,,,
1446,Stung Chinit,Hydro,Planned,5.0,,,,,,,,Cambodia,Kâmpóng Thum,Baray,Stung Chhnit,12.51822,105.266,,,OpenDevelopment,,,
1447,Stung Kep I,Hydro,Planned,4.0,,,,,,,,Cambodia,Koh Kong,Thma Bang,Coastal Rivers Koh Kong,11.64956,103.1983,,,OpenDevelopment,,,
1448,Stung Kep II,Hydro,Planned,26.0,,,,,,,,Cambodia,Koh Kong,Thma Bang,Coastal Rivers Koh Kong,11.74177,103.3363,,,OpenDevelopment,,,
1449,Stung Meteuk I,Hydro,Planned,175.0,,,,,,,,Cambodia,Pursat,Veal Veaeng,Coastal Rivers Trat Chantaburi,12.20899,102.765,,,OpenDevelopment,,,
1450,Stung Meteuk II,Hydro,Planned,210.0,,,,,,,,Cambodia,Pursat,Veal Veaeng,Coastal Rivers Trat Chantaburi,12.02769,102.8639,,,OpenDevelopment,,,
1451,Stung Meteuk III,Hydro,Planned,50.0,,,,,,,,Cambodia,Koh Kong,Mondol Seima,Coastal Rivers Trat Chantaburi,11.84262,102.8913,,,OpenDevelopment,,,
1452,Stung Mongkol Borey I,Hydro,Planned,7.0,,,,,,,,Cambodia,Battambang,Bavel,Steng Mongkol Borei-Battambang,13.0884,102.8985,,,OpenDevelopment,,,
1453,Stung Mongkol Borey II,Hydro,Planned,7.0,,,,,,,,Cambodia,Battambang,Kamrieng,Steng Mongkol Borei-Battambang,13.10238,102.7456,,,OpenDevelopment,,,
1454,Stung Piphot,Hydro,Planned,25.0,,,,,,,,Cambodia,Koh Kong,Srae Ambel,Coastal Rivers Koh Kong,11.30415,103.6015,,,OpenDevelopment,,,
1455,Stung Pursat I,Hydro,Under Construction,80.0,2023.0,South Korea; China; Cambodia,SPHP Co. Ltd.,,,,,Cambodia,Pursat,Veal Veaeng,Steng Pursat,12.28628,103.2953,,,OpenDevelopment,https://www.voacambodia.com/a/villagers-in-pursat-risk-losing-everything-to-dam-development/4876663.html; https://www.phnompenhpost.com/business/new-231m-pursat-dam-built; ,,12/21/2020
1456,Stung Pursat II,Hydro,Planned,17.0,,China,,,,,,Cambodia,Pursat,Phnum Kravanh,Steng Pursat,12.32459,103.5156,,,OpenDevelopment,,,
1457,Stung Pursat IV,Hydro,Planned,2.0,,,,,,,,Cambodia,Pursat,Phnum Kravanh,Steng Pursat,12.24128,103.7849,,,OpenDevelopment,,,
1458,Stung Pursat V,Hydro,Planned,2.0,,,,,,China,China Guangdong Foreign Construction Company (China),Cambodia,Pursat,Phnum Kravanh,Steng Pursat,12.37376,103.8382,,,OpenDevelopment,http://www.gdfc.cc/en/projects_view.aspx?project_id=320&project_class=30,,
1459,Stung Sen,Hydro,Planned,38.0,,South Korea; Kuwait,,,,,,Cambodia,Preah Vihéar,Rovieng,Steng Sen,13.3757,105.2453,,,OpenDevelopment,https://sithi.org/landissue/db/0909_Table_Hydro%20Dams%20Approved.pdf,,12/21/2020
1460,Stung Siem Reap,Hydro,Planned,2.0,,,,,,,,Cambodia,Siem Reap,Svay Leu,Stung Siem Reap,13.55464,104.1625,,,OpenDevelopment,,,
1461,Stung Sreng,Hydro,Planned,7.0,,,,,,,,Cambodia,Oddar Meanchey,Chong Kal,Steng Sreng,14.01566,103.7235,,,OpenDevelopment,,,
1462,Stung Staung,Hydro,Planned,4.0,,,,,,,,Cambodia,Kampong Thom,Prasat Balangk,Steng Staung,13.22264,104.7661,,,OpenDevelopment,,,
1463,Stung Sva Slapp,Hydro,Planned,4.0,,,,,,,,Cambodia,Kampong Speu,Aoral,Mekong Mainstem - Lower Cambodia Floodplain,11.68979,104.0183,,,OpenDevelopment,,,
1464,Stung Tanat,Hydro,Planned,4.0,,,,,,,,Cambodia,Siem Reap,Varin,Steng Tanat,13.88491,103.8967,,,OpenDevelopment,,,
1465,Stung Tatai Leu,Hydro,Planned,150.0,2026.0,China,China National Heavy Machinery Corp,,,,,Cambodia,Koh Kong,Thma Bang,Coastal Rivers Koh Kong,11.66172,103.397664,"Actual location unknown, currently sited at locality in link/announcement",527000,Khmer Times,https://www.phnompenhpost.com/business/proposed-koh-kong-dam-one-step-closer; https://www.khmertimeskh.com/50738965/more-hydropower-proposed-as-energy-demand-fluctuates/; https://www.phnompenhpost.com/business/implementation-accord-inked-koh-kong-dam,https://www.khmertimeskh.com/50776451/cabinet-approves-stung-tatai-leu-hydropower-dam-development-project/,12/21/2020
1466,Stung Tatay,Hydro,Operational,246.0,2014.0,China,China National Heavy Machinery Corporation,China,China EXIM Bank (China),China,China Gezhouba Group Corporation (China),Cambodia,Koh Kong,Thma Bang,Coastal Rivers Koh Kong,11.63861,103.2597,,,Boston University,"https://www.internationalrivers.org/sites/default/files/attached-files/case_study_china_investments_in_cambodia.pdf
https://china.aiddata.org/projects/32192; datasets.wri.org/dataset/globalpowerplantdatabase; https://cdm.unfccc.int/Projects/DB/BVQI135545",,
