id,Project Name,Subtype,Current Status,Capacity (MW),Year of Completion,Country list of Sponsor/Developer,Sponsor/Developer Company,Country list of Lender/Financier,Lender/Financier Company,Country list of Construction/EPC,Construction Company/EPC Participant,Country,Province/State,District,Tributary,Latitude,Longitude,Proximity,Avg. Annual Output (MWh),Data Source,Announcement/More Information,Link,Latest Update
39,B.Grimm BIP,Gas,Operational,230.0,2016,Thailand,B.Grimm,,,,,Thailand,Pathum Thani,Muang Pathum Thani,Chao Phraya-Ping,13.9745,100.5649,,941634.7,World Resources Institute,http://www.bgrimmpower.com/power-plants/power-plants-in-operation/,,12/28/2020
40,B.Grimm Power (Laem Chabang) 1&2,Gas,Operational,159.0,2009,Thailand,B.Grimm,,,,,Thailand,Chon Buri,Si Racha,Coastal Rivers Rayong Chon Buri,13.0913,100.8943,,650956.2,Sponsor Website,https://investor.bgrimmpower.com/misc/presentation/20190521-bgrim-oppday-1q2019-02.pdf,http://www.bgrimmpower.com/power-plants/power-plants-in-operation/,
41,B.Grimm Power (WHA) 1 Limited (Bowin Clean Energy),Gas,Operational,132.0,2017,Thailand,"Bowin Clean Energy, Ltd., Hemaraj Energy, Ltd., B.Grimm Power",,,Finland; Japan,"Pöyry, Sumitomo Corp., Toshiba Plant Systems",Thailand,Chon Buri,Si Racha,Coastal Rivers Rayong Chon Buri,13.0505,101.0859,,540416.5,World Resources Institute,http://www.bgrimmpower.com/power-plants/power-plants-in-operation/; https://www.facebook.com/B.Grimmpowerwha1limited/posts/we-changed-our-name-from-bowin-clean-energy-limited-to-bgrimm-power-wha-1-limite/1177040169061474/; https://www.bgrimmpower.com/en/power-plants/domestic/46/bgrimm-power-wha-1-limited; https://www.wha-industrialestate.com/en/media-activities/news/customer-news/483/bowin-clean-energy-lays-a-foundation-stone-for-power-plant-in-hemaraj-cie; https://www.nationthailand.com/news/30315467,,12/28/2020
42,Ba Ria,Gas,Operational,389.0,,Vietnam,Vietnam Electricity (EVN),,,,,Vietnam,Bà Rịa - Vũng Tàu,Bà Rịa,Coastal Tributaries Ba Ria-Dong Nai-HCMC,10.4891,107.17,,,World Resources Institute,http://www.evn.com.vn/userfile/files/2017/3/AnnualReport2016.pdf,,
43,Ba Thuoc 2,Hydro,Operational,80.0,2013,Vietnam,Hoang Anh Lai,,,,,Vietnam,Thanh Hóa,Bá Thước,Ma mainstem,20.32417,105.3219,,,Vietnam Electricity,https://en.evn.com.vn/userfile/User/huongbtt/files/2018/1/Quyetinh95CUCDTDL2017.pdf; https://data.opendevelopmentmekong.net/vi/library_record/ba-thuoc-2-Hydropower,,
44,Baan-Kluai Solar Power Plant Phase 1 at Gunkul,Solar,Unknown,8.61,,Thailand; United Kingdom,"Gunkul Powergen Co. Ltd., Agrinergy Pte Ltd.",,,,,Thailand,Phetchabun,Chon Daen,Nan,16.04854,100.7449,,12483,UNFCCC,https://cdm.unfccc.int/Projects/DB/LRQA%20Ltd1346679861.43/view,,
45,Baanrai Biomass Power Plant,Biomass,Operational,9.9,2013,Thailand,"Baanrai Electricity Generating Co., Ltd. (subsidiary of Thai Roong Ruang Sugar Group)",,,,,Thailand,Uthai Thani,Ban Rai,Tha Chin,15.01314,99.62373,,,UNFCCC,https://www.bib.co.th/project/baanrai-sugar-industry/,https://cdm.unfccc.int/Projects/DB/LRQA%20Ltd1359378194.83/view,03/18/2021
46,Bac Ai Pumped-Storage Hydropower Project,Hydro,Under Construction,1200.0,2029,Vietnam,EVN,,,Vietnam,"Power Engineering Consulting JSC 4, Construction JSC 47",Vietnam,Ninh Thuận,Bác Ái,Song Cai Phan Rang,11.8441696649849,108.774619236889,"Actual location unknown, currently sited at locality in link/announcement",,Boston University,https://en.evn.com.vn/d6/news/Ceremony-of-implementing-construction-and-launching-emulation-for-completing-discharge-gate-work-cluster-of-Bac-Ai-Pumped-Storage-Hydropower-Project-66-142-1744.aspx,https://data.mendeley.com/datasets/ht9k5p3vdb/1,03/31/2021
47,Bac Binh,Hydro,Operational,33.0,2009,Vietnam,Power Development JSC,,,,,Vietnam,Bình Thuận,Bắc Bình,Song Luy,11.45722,108.3525,_x0008_,,Vietnam Electricity,https://en.evn.com.vn/userfile/User/huongbtt/files/2018/1/Quyetinh95CUCDTDL2017.pdf; https://data.opendevelopmentmekong.net/vi/library_record/bac-binh-Hydropower,,
48,Bac Ha,Hydro,Operational,90.0,,Vietnam,LICOGI,,,,,Vietnam,Lào Cai,Bắc Hà,Song Lo-Nga Tao,22.50703,104.1957,,,Vietnam Electricity,https://en.evn.com.vn/userfile/User/huongbtt/files/2018/1/Quyetinh95CUCDTDL2017.pdf,,
49,Bac Lieu Cai Cung (Nhà máy Nhiệt điện Bạc Liêu - Cái Cùng),Coal,Cancelled,1200.0,2019,Vietnam; Japan,"Nhiệt điện Cái Cùng -- a JV betwen (1)Tập đoàn Điện lực Việt Nam - EVN, (2)Tập đoàn Sojitz Kyushu",,,,,Vietnam,Bạc Liêu,Hoà Bình,Vietnam Mekong Delta,9.165922,105.5751,"Actual location unknown, currently sited at locality in link/announcement",,EVN,https://www.nhandan.com.vn/kinhte/item/32349502-bac-lieu-xin-loai-du-an-nhiet-dien-cai-cung-khoi-quy-hoach.html,,
50,Bac Lieu LNG ((Nhà máy nhiệt điện khí LNG Bạc Liêu) - built in 3 stages,Gas,Planned,3200.0,2027,USA; Vietnam,"Delta Offshore Energy, Viện Năng Lượng (Ministry of Commerce and Trade)",,,,,Vietnam,Bạc Liêu,Hoà Bình,Vietnam Mekong Delta,9.231163,105.6935,"Actual location unknown, currently sited at locality in link/announcement",,Nhan Dan,https://vietnambiz.vn/du-an-dien-khi-lng-4-ty-usd-tai-bac-lieu-co-the-phat-dien-1000-mw-vao-nam-2021-65384.htm; https://www.enerdata.net/publications/daily-energy-news/vietnam-adds-two-lng-power-projects-27-3-gw-national-planning.html,,
